"Fecha","Proyecto","Tarea","Un","Integrante"
01/04/19,"ProyectoC","Desarrollo",8,
01/04/19,"Generales","Asignación",20,
01/04/19,"Generales","Asignación",8,
01/05/19,"ProyectoC","Desarrollo",8,
01/05/19,"ProyectoI","Corrección",8,
01/05/19,"ProyectoF","Corrección",4,
01/05/19,"ProyectoF","Test",4,
01/05/19,"ProyectoC","Desarrollo",12,
01/05/19,"ProyectoF","Test",2,
01/05/19,"ProyectoB","Test",2,
01/05/19,"ProyectoB","Desarrollo",16,
01/05/19,"ProyectoB","Test",2,
01/05/19,"ProyectoF","Test",2,
01/05/19,"ProyectoC","Test",4,
01/05/19,"ProyectoL","Test",2,
01/05/19,"ProyectoC","Bug",2,
01/05/19,"ProyectoC","Bug",2,
01/05/19,"ProyectoC","Desarrollo",2,
01/05/19,"ProyectoC","Desarrollo",14,
01/05/19,"ProyectoC","Desarrollo",4,
01/05/19,"ProyectoG","Test",4,
01/05/19,"ProyectoE","Test",2,
01/05/19,"ProyectoB","Desarrollo",4,
01/05/19,"ProyectoG","Desarrollo",40,
01/05/19,"ProyectoG","Desarrollo",36,
01/05/19,"ProyectoG","Desarrollo",3,
01/05/19,"ProyectoD","Desarrollo",36,
01/05/19,"ProyectoF","Entrega",9,
01/05/19,"ProyectoK","Entrega",12,
01/05/19,"ProyectoB","Corrección",8,
01/05/19,"ProyectoG","Entrega",5,
01/05/19,"ProyectoD","Entrega",4,
01/05/19,"ProyectoC","Correción",12,
01/05/19,"ProyectoL","Corrección",2,
01/05/19,"ProyectoD","Test",1,
01/05/19,"ProyectoB","Revisión",3,
01/05/19,"ProyectoB","Revisión",8,
01/05/19,"ProyectoB","Revisión",9,
01/05/19,"ProyectoE","Desarrollo",48,
01/05/19,"ProyectoE","Desarrollo",2,
01/05/19,"ProyectoL","Desarrollo",4,
01/05/19,"Generales","Asignación",20,
01/05/19,"Generales","Asignación",8,
01/05/19,"ProyectoB","Asignación",4,
01/05/19,"ProyectoE","Revisión",32,
01/05/18,"ProyectoE","Revisión",8,
01/06/19,"ProyectoD","Test",2,
01/06/19,"ProyectoF","Test",2,
01/06/19,"ProyectoF","Corrección",24,
01/06/19,"ProyectoD","Corrección",4,
01/06/19,"ProyectoD","Revisión",6,
01/06/19,"ProyectoL","Revisión",40,
01/06/19,"ProyectoL","Desarrollo",50,
01/06/19,"ProyectoL","Desarrollo",16,
01/06/19,"ProyectoG","Entrega",3,
01/06/19,"ProyectoF","Corrección",2,
01/06/19,"ProyectoC","Test",2,
01/06/19,"ProyectoG","Revisión",2,
01/06/19,"ProyectoK","Corrección",1,
01/06/19,"ProyectoI","Correción",4,
01/06/19,"ProyectoK","Entrega",1,
01/06/19,"ProyectoI","Desarrollo",56,
01/06/19,"Generales","Asignación",16,
01/06/19,"Generales","Asignación",6,
01/06/19,"ProyectoE","Asignación",4,
01/07/19,"ProyectoI","Entrega",8,
01/07/19,"ProyectoL","Entrega",8,
01/07/19,"ProyectoH","Reunión",1,
01/07/19,"ProyectoL","Desarrollo",16,
01/07/19,"ProyectoE","Desarrollo",8,
01/07/19,"ProyectoE","Desarrollo",32,
01/07/19,"ProyectoI","Desarrollo",16,
01/07/19,"ProyectoB","Desarrollo",16,
